time_ms,ax,ay,az,gx,gy,gz,mx,my,mz,qw,qx,qy,qz,heading
12986745.0,-0.07,0.09,-1.0,0.18,0.67,0.3,86.12,137.13,-28.66,0.0197,0.5194,0.8532,0.0431,32.13
12986756.0,-0.06,0.09,-1.01,0.24,1.04,0.3,87.02,135.93,-28.81,0.0197,0.5194,0.8532,0.0431,32.63
12986768.0,-0.06,0.1,-1.02,0.24,1.46,0.49,85.52,136.53,-28.81,0.0197,0.5195,0.8532,0.0431,32.06
12986780.0,-0.01,0.09,-1.02,0.18,2.01,0.49,84.62,136.08,-28.06,0.0197,0.5195,0.8532,0.0431,31.87
12986792.0,0.01,0.09,-1.0,0.0,2.01,0.49,86.42,136.38,-28.36,0.0197,0.5195,0.8532,0.0431,32.36
12986804.0,0.03,0.11,-0.98,0.06,1.77,0.37,87.32,136.98,-28.51,0.0198,0.5195,0.8531,0.0431,32.52
12986816.0,0.01,0.11,-0.98,0.0,1.34,0.3,85.97,137.28,-28.21,0.0198,0.5195,0.8531,0.0431,32.06
12986828.0,-0.0,0.1,-0.99,0.12,0.79,0.3,86.27,137.28,-28.81,0.0198,0.5196,0.8531,0.0431,32.15
12986839.0,-0.04,0.09,-0.99,0.18,0.55,0.3,86.42,138.18,-28.06,0.0198,0.5196,0.8531,0.0431,32.02
12986851.0,-0.06,0.1,-1.0,0.3,0.67,0.37,86.27,136.98,-29.26,0.0198,0.5196,0.8531,0.043,32.2
12986863.0,-0.07,0.09,-1.01,0.24,0.85,0.37,85.52,136.23,-27.76,0.0197,0.5196,0.8531,0.043,32.12
12986875.0,-0.06,0.1,-1.02,0.18,1.46,0.3,86.12,137.88,-27.61,0.0197,0.5196,0.8531,0.043,31.99
12986887.0,-0.02,0.09,-1.02,0.12,1.83,0.43,85.22,136.23,-28.51,0.0198,0.5197,0.8531,0.043,32.03
12986899.0,0.01,0.09,-1.01,0.06,2.01,0.49,86.87,136.83,-28.36,0.0198,0.5197,0.853,0.043,32.41
12986911.0,0.02,0.09,-0.98,0.0,1.77,0.37,86.87,135.03,-28.36,0.0198,0.5197,0.853,0.043,32.75
12986923.0,0.02,0.1,-0.97,0.0,1.34,0.37,87.02,137.28,-28.21,0.0198,0.5197,0.853,0.043,32.37
12986935.0,-0.0,0.11,-0.97,0.12,0.98,0.37,87.02,138.03,-29.56,0.0198,0.5198,0.853,0.043,32.23
12986947.0,-0.02,0.1,-1.0,0.12,0.55,0.37,86.72,136.23,-28.81,0.0198,0.5198,0.853,0.043,32.48
12986959.0,-0.06,0.11,-1.0,0.18,0.55,0.37,86.12,135.63,-28.66,0.0198,0.5198,0.853,0.043,32.41
12986971.0,-0.07,0.1,-1.02,0.18,0.91,0.3,85.37,136.83,-27.01,0.0198,0.5198,0.853,0.043,31.96
12986983.0,-0.07,0.1,-1.03,0.18,1.4,0.49,86.42,137.13,-29.11,0.0198,0.5199,0.8529,0.043,32.22
12986995.0,-0.04,0.09,-1.01,0.12,1.77,0.37,87.02,138.03,-28.51,0.0198,0.5199,0.8529,0.043,32.23
12987007.0,-0.0,0.09,-1.01,0.12,2.01,0.43,87.02,137.28,-28.21,0.0199,0.5199,0.8529,0.043,32.37
12987019.0,0.01,0.1,-0.98,0.0,2.01,0.37,86.12,135.63,-27.31,0.0199,0.5199,0.8529,0.0429,32.41
12987031.0,0.03,0.1,-0.97,0.0,1.52,0.43,85.97,135.93,-28.51,0.0199,0.5199,0.8529,0.043,32.31
12987042.0,-0.0,0.11,-0.98,0.12,0.98,0.24,86.27,138.03,-29.86,0.0199,0.52,0.8529,0.043,32.01
12987054.0,-0.02,0.11,-0.98,0.12,0.73,0.3,87.02,136.53,-28.81,0.0199,0.52,0.8529,0.043,32.51
12987066.0,-0.04,0.11,-0.99,0.18,0.55,0.37,87.02,136.23,-28.81,0.0198,0.52,0.8528,0.043,32.57
12987078.0,-0.06,0.1,-1.01,0.18,0.79,0.37,86.12,137.43,-29.11,0.0198,0.52,0.8528,0.0431,32.07
12987090.0,-0.06,0.1,-1.01,0.3,1.1,0.43,86.42,136.08,-28.36,0.0198,0.5201,0.8528,0.0431,32.42
12987102.0,-0.03,0.1,-1.02,0.18,1.65,0.37,86.42,137.43,-27.31,0.0198,0.5201,0.8528,0.0431,32.16
12987114.0,0.01,0.09,-1.0,0.18,2.01,0.37,86.87,137.43,-28.66,0.0198,0.5201,0.8528,0.0431,32.3
12987126.0,0.02,0.09,-0.99,0.06,2.01,0.43,85.97,135.48,-27.76,0.0198,0.5201,0.8528,0.0431,32.4
12987138.0,0.03,0.1,-0.97,0.06,1.65,0.49,86.12,135.63,-27.16,0.0198,0.5201,0.8528,0.0431,32.41
12987150.0,0.01,0.1,-0.96,0.0,1.34,0.37,86.27,137.28,-28.81,0.0198,0.5202,0.8528,0.0431,32.15
12987162.0,-0.02,0.1,-1.0,0.12,0.73,0.3,85.52,135.93,-28.21,0.0198,0.5202,0.8527,0.0431,32.18
12987174.0,-0.05,0.1,-1.0,0.18,0.67,0.24,87.32,138.03,-28.81,0.0198,0.5202,0.8527,0.0431,32.32
12987186.0,-0.07,0.1,-1.01,0.18,0.67,0.43,86.27,137.28,-27.46,0.0198,0.5202,0.8527,0.0431,32.15
12987198.0,-0.05,0.09,-1.01,0.06,1.1,0.3,85.82,138.93,-27.61,0.0198,0.5203,0.8527,0.0431,31.7
12987210.0,-0.05,0.09,-1.02,0.12,1.65,0.37,86.27,137.28,-28.51,0.0198,0.5203,0.8527,0.0431,32.15
12987222.0,0.0,0.09,-0.99,0.06,1.89,0.43,85.52,137.28,-28.81,0.0198,0.5203,0.8527,0.0431,31.92
12987234.0,0.02,0.09,-1.01,0.12,1.89,0.43,85.22,136.23,-27.16,0.0198,0.5203,0.8527,0.0431,32.03
12987246.0,0.03,0.1,-0.97,0.06,1.71,0.43,85.52,138.33,-28.21,0.0198,0.5203,0.8526,0.0431,31.73
12987257.0,0.02,0.11,-0.95,0.06,1.34,0.37,86.72,136.98,-28.81,0.0198,0.5204,0.8526,0.043,32.34
12987269.0,-0.01,0.11,-0.97,0.06,0.85,0.37,86.72,137.73,-28.51,0.0198,0.5204,0.8526,0.0431,32.2
12987281.0,-0.05,0.1,-1.0,0.18,0.67,0.24,86.27,136.53,-28.51,0.0198,0.5204,0.8526,0.0431,32.29
12987293.0,-0.07,0.1,-1.0,0.24,0.67,0.24,87.32,136.53,-29.56,0.0198,0.5204,0.8526,0.0431,32.6
12987305.0,-0.06,0.1,-1.02,0.24,0.98,0.37,86.42,136.38,-28.06,0.0197,0.5204,0.8526,0.0431,32.36
12987317.0,-0.06,0.09,-1.02,0.18,1.4,0.37,86.42,136.38,-28.66,0.0198,0.5205,0.8526,0.0431,32.36
12987329.0,-0.01,0.09,-1.02,0.12,1.89,0.37,86.42,136.83,-27.01,0.0198,0.5205,0.8526,0.043,32.28
12987341.0,0.01,0.1,-1.02,0.12,2.07,0.55,87.62,136.83,-29.11,0.0198,0.5205,0.8525,0.043,32.63
12987353.0,0.03,0.09,-0.98,0.06,1.83,0.3,86.72,136.23,-28.81,0.0199,0.5205,0.8525,0.043,32.48
12987365.0,0.02,0.1,-0.97,0.0,1.46,0.43,85.37,137.13,-29.11,0.0199,0.5205,0.8525,0.043,31.9
12987377.0,-0.01,0.11,-0.98,0.06,0.85,0.24,86.72,136.53,-27.16,0.0199,0.5206,0.8525,0.043,32.42
12987389.0,-0.03,0.11,-0.99,0.12,0.67,0.3,87.17,135.33,-28.66,0.0199,0.5206,0.8525,0.043,32.79
12987401.0,-0.07,0.1,-1.02,0.37,0.55,0.3,86.87,136.38,-27.01,0.0198,0.5206,0.8525,0.043,32.5
12987413.0,-0.07,0.1,-1.01,0.12,0.98,0.37,85.82,137.43,-28.36,0.0198,0.5206,0.8525,0.043,31.98
12987425.0,-0.07,0.1,-1.02,0.18,1.34,0.43,86.27,135.48,-28.21,0.0198,0.5207,0.8525,0.043,32.49
12987437.0,-0.03,0.1,-1.03,0.18,1.77,0.55,86.72,135.48,-28.81,0.0199,0.5207,0.8524,0.043,32.62
12987449.0,0.0,0.1,-1.0,0.06,2.07,0.43,86.72,136.23,-29.26,0.0199,0.5207,0.8524,0.043,32.48
12987461.0,0.03,0.09,-0.98,0.0,1.83,0.55,86.87,137.13,-27.31,0.0199,0.5207,0.8524,0.043,32.35
12987473.0,0.03,0.1,-0.95,0.0,1.46,0.37,86.87,135.63,-28.06,0.0199,0.5207,0.8524,0.043,32.64
12987485.0,0.0,0.11,-0.99,0.12,1.04,0.3,85.07,138.48,-27.61,0.0199,0.5208,0.8524,0.043,31.56
12987497.0,-0.01,0.11,-0.98,0.18,0.73,0.3,85.37,137.13,-29.11,0.0199,0.5208,0.8524,0.043,31.9
12987509.0,-0.04,0.1,-0.99,0.3,0.55,0.3,85.97,135.48,-28.21,0.0199,0.5208,0.8524,0.043,32.4
12987521.0,-0.08,0.1,-1.01,0.18,0.73,0.3,85.52,136.98,-29.26,0.0198,0.5208,0.8523,0.043,31.98
12987533.0,-0.06,0.1,-1.0,0.18,1.22,0.37,86.27,137.28,-28.81,0.0199,0.5209,0.8523,0.0431,32.15
12987544.0,-0.03,0.1,-1.03,0.12,1.71,0.37,85.97,136.98,-28.51,0.0199,0.5209,0.8523,0.0431,32.11
12987556.0,0.01,0.08,-0.99,0.06,2.01,0.3,87.02,136.53,-28.51,0.0199,0.5209,0.8523,0.0431,32.51
12987568.0,0.02,0.09,-0.97,0.12,2.01,0.43,85.37,138.18,-28.66,0.0199,0.5209,0.8523,0.0431,31.71
12987580.0,0.04,0.11,-0.96,0.0,1.71,0.24,85.97,135.93,-26.86,0.0199,0.5209,0.8523,0.0431,32.31
12987592.0,0.01,0.11,-0.98,0.12,1.16,0.37,85.22,136.23,-28.81,0.0199,0.521,0.8523,0.0431,32.03
12987604.0,-0.01,0.11,-0.98,0.06,0.67,0.18,87.17,138.18,-28.36,0.0199,0.521,0.8523,0.0432,32.25
12987616.0,-0.05,0.1,-0.99,0.12,0.67,0.24,86.27,135.48,-28.21,0.0199,0.521,0.8522,0.0432,32.49
12987628.0,-0.06,0.1,-1.01,0.12,0.67,0.18,86.42,135.03,-28.36,0.0199,0.521,0.8522,0.0432,32.62
12987640.0,-0.05,0.1,-1.0,0.18,1.1,0.3,86.12,137.43,-27.61,0.0198,0.521,0.8522,0.0432,32.07
12987652.0,-0.05,0.1,-1.02,0.12,1.59,0.37,86.27,136.23,-27.46,0.0198,0.521,0.8522,0.0432,32.34
12987664.0,-0.0,0.08,-1.03,0.18,2.01,0.37,86.42,136.83,-29.41,0.0198,0.5211,0.8522,0.0432,32.28
12987676.0,0.02,0.09,-0.99,0.0,2.01,0.37,85.52,137.73,-28.51,0.0199,0.5211,0.8522,0.0432,31.84
12987688.0,0.03,0.1,-0.97,0.0,1.83,0.43,87.17,136.38,-28.36,0.0199,0.5211,0.8522,0.0432,32.59
12987700.0,0.02,0.1,-0.97,0.06,1.16,0.3,87.32,138.33,-29.26,0.0199,0.5211,0.8522,0.0432,32.26
12987712.0,-0.02,0.11,-0.97,0.12,0.85,0.3,86.87,137.13,-29.71,0.0199,0.5211,0.8521,0.0432,32.35
12987724.0,-0.05,0.1,-1.0,0.18,0.49,0.18,85.52,137.73,-28.51,0.0199,0.5212,0.8521,0.0432,31.84
12987736.0,-0.07,0.1,-0.98,19.76,-1093.72,520.67,85.82,136.08,-28.36,0.0198,0.5212,0.8521,0.0432,32.24
12987748.0,-0.06,0.09,-1.01,0.24,1.46,0.37,85.82,137.88,-28.66,0.0198,0.5212,0.8521,0.0432,31.9
